Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 580
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,CALL freq,FOLD freq
8c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3d,0.34171,63.69,961.414,128.354,36.31,213.083,61.0081,59.91,30.08,10.01
8c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4d,0.49568,66.33,999.961,128.184,33.66,174.54,53.8943,73.09,18.95,7.96
8c 6c 5c,0.0011,62.18,926.556,126.713,37.82,247.945,68.1476,63.11,26.02,10.87
8c 6c 5d,0.21243,63.68,963.433,128.643,36.32,211.066,60.4142,67.16,32.09,0.75
8c 6d 6c,0.82177,63.17,947.982,127.618,36.83,226.517,63.9253,65.28,22.90,11.83
8c 6d 2c,0.54478,63.79,963.602,128.446,36.21,210.895,60.5476,70.26,18.11,11.64
8c 6d 3c,0.26215,63.74,959.661,128.028,36.26,214.841,61.5897,63.37,28.18,8.45
8c 6d 4c,0.51246,66.07,994.524,128.007,33.93,179.977,55.1324,73.67,17.92,8.41
8c 6d 5c,0.15237,61.54,917.133,126.724,38.46,257.366,69.5639,65.38,32.16,2.46
8c 7c 2c,0.00588,57.34,825.291,122.395,42.66,349.212,85.0871,50.66,39.97,9.36
8c 7c 2d,0.71269,63.23,950.974,127.894,36.77,223.524,63.1881,78.15,12.64,9.21
8c 7c 3c,0.00129,67.55,994.737,125.224,32.45,179.772,57.5846,72.00,13.58,14.42
8c 7c 3d,0.33366,63.76,963.106,128.447,36.24,211.392,60.6341,77.01,13.46,9.53
8c 7c 4c,0.00121,71.48,1097.6,130.571,28.52,76.9015,28.03,63.30,26.54,10.16
8c 7c 4d,0.12313,63.20,953.154,128.24,36.80,221.343,62.5262,83.98,13.98,2.04
8c 7c 5c,0.00438,66.63,1026.01,130.932,33.37,148.481,46.2596,64.40,34.12,1.48
8c 7c 5d,0.17218,60.93,909.505,126.929,39.07,264.998,70.5069,74.47,24.63,0.89
8c 7c 6c,0.00003,64.97,961.081,125.797,35.03,213.446,63.3311,77.80,8.45,13.75
8c 7c 6d,0.16487,54.89,776.848,120.343,45.11,397.652,91.6382,81.56,7.07,11.37
8c 7d 7c,0.17153,60.81,905.672,126.65,39.19,268.829,71.3015,63.99,28.30,7.71
8c 7d 2c,0.66297,63.02,946.477,127.7,36.98,228.026,64.1059,78.91,12.28,8.81
8c 7d 3c,0.34476,63.08,949.6,128.013,36.92,224.903,63.3193,78.05,13.28,8.66
8c 7d 4c,0.13114,64.98,980.607,128.317,35.02,193.899,57.5615,81.86,10.18,7.96
8c 7d 5c,0.25134,61.17,910.308,126.541,38.83,264.195,70.7291,70.15,27.16,2.69
8c 7d 6c,0.19946,55.39,788.174,120.995,44.61,386.325,90.0251,80.88,9.32,9.81
8d 8c 2c,0.44926,66.14,996.737,128.144,33.86,177.759,54.5744,74.75,14.54,10.70
8d 8c 3c,0.18385,63.71,960.369,128.189,36.29,214.126,61.3287,80.59,11.00,8.41
8d 8c 4c,0.65936,64.33,965.408,127.602,35.67,209.094,60.9429,71.21,16.59,12.20
8d 8c 5c,0.54828,64.87,973.929,127.659,35.13,200.57,59.3553,74.19,13.07,12.75
8d 8c 6c,0.42702,62.24,933.17,127.491,37.76,241.33,66.4375,58.45,35.58,5.97
8d 8c 7c,0.00149,58.39,859.495,125.161,41.61,315.007,78.7023,61.13,38.87,0.00
8h 8d 8c,1.32474,71.66,1107.49,131.418,28.34,67.0129,24.58,48.89,36.66,14.45
8d 3c 2c,0.24825,62.64,935.639,127.011,37.36,238.862,66.4626,69.72,25.18,5.09
8d 4c 2c,0.64002,64.63,973.203,128.054,35.37,201.299,59.1522,78.01,13.60,8.39
8d 4c 3c,0.29737,64.27,967.367,127.989,35.73,207.136,60.2636,74.83,17.92,7.26
8d 5c 2c,0.49401,64.28,961.885,127.241,35.72,212.612,61.8762,74.99,14.91,10.09
8d 5c 3c,0.18408,65.93,995.996,128.466,34.07,178.506,54.4585,72.73,18.58,8.69
8d 5c 4c,0.03033,60.95,886.904,123.732,39.05,287.596,76.5608,85.09,3.75,11.15
8d 6c 2c,0.48176,63.25,953.637,128.209,36.75,220.862,62.4713,62.54,28.12,9.34
8d 6c 3c,0.21573,62.56,938.393,127.554,37.44,236.107,65.5498,57.01,36.22,6.77
8d 6c 4c,0.45462,65.88,991.912,128.023,34.12,182.587,55.633,73.55,18.92,7.53
8d 6c 5c,0.20423,63.91,968.181,128.815,36.09,206.318,59.4294,67.53,32.07,0.40
