Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
7d 5c 2c,58.1095,45.44,15.6271,76.4208,54.56,38.8729,127.233,17.28,63.77,18.95
7d 5c 3c,42.5354,45.87,15.9537,77.2916,54.13,38.5463,127.159,17.85,62.59,19.56
7d 5c 4c,33.4094,46.53,16.2889,77.7892,53.47,38.2112,127.619,16.99,63.62,19.39
7d 6c 2c,60.9185,45.92,15.7021,75.9873,54.08,38.7979,128.111,18.22,62.51,19.27
7d 6c 3c,35.915,46.30,15.8699,76.162,53.70,38.6301,128.47,18.19,62.29,19.53
7d 6c 4c,29.9069,47.01,16.377,77.4239,52.99,38.123,128.46,17.65,63.48,18.87
7d 6c 5c,26.7247,47.31,16.4322,77.1763,52.68,38.0678,129.028,15.58,65.75,18.67
7h 7d 2c,46.9108,42.21,14.6793,77.286,57.79,39.8207,123.042,22.01,51.04,26.95
7h 7d 3c,43.6922,42.71,14.7361,76.6771,57.29,39.7639,123.938,21.76,53.24,25.00
7h 7d 4c,43.6289,43.60,15.0587,76.7533,56.40,39.4413,124.876,21.55,55.83,22.62
7h 7d 5c,48.0315,44.09,15.2244,76.7361,55.91,39.2756,125.44,21.55,57.05,21.40
7h 7d 6c,46.3123,44.31,15.3102,76.7787,55.69,39.1898,125.669,22.27,56.22,21.51
7h 2d 2c,89.0223,43.05,14.6596,75.6676,56.95,39.8404,124.929,22.78,54.75,22.47
7h 3d 3c,75.9407,43.16,14.5667,75.0043,56.84,39.9333,125.453,22.34,56.23,21.42
7h 3d 2c,59.5627,43.54,14.7313,75.191,56.46,39.7687,125.775,19.15,64.10,16.75
7h 4d 4c,42.6312,43.68,15.0502,76.5718,56.32,39.4498,125.077,22.73,54.38,22.89
7h 4d 2c,48.4624,44.31,15.0652,75.5505,55.69,39.4348,126.454,17.92,65.10,16.98
7h 4d 3c,23.2657,45.12,15.5302,76.4838,54.88,38.9698,126.808,17.32,62.45,20.23
7h 5d 5c,37.8648,44.12,15.3404,77.2669,55.88,39.1596,125.138,22.50,55.11,22.39
7h 5d 2c,51.3251,44.98,15.2713,75.4402,55.02,39.2287,127.329,17.44,66.71,15.85
7h 5d 3c,32.1546,45.19,15.7075,77.2428,54.81,38.7925,126.385,17.56,64.37,18.07
7h 5d 4c,18.7095,46.19,16.3417,78.6188,53.81,38.1583,126.633,16.92,64.11,18.97
7h 6d 6c,44.3788,44.42,15.2728,76.4123,55.58,39.2272,126.024,22.63,55.48,21.89
7h 6d 2c,51.5075,45.57,15.3239,74.719,54.42,39.1761,128.539,19.03,64.08,16.89
7h 6d 3c,26.1715,45.81,15.5695,75.5342,54.19,38.9305,128.277,17.32,65.26,17.42
7h 6d 4c,17.1597,46.63,16.2782,77.5803,53.37,38.2218,127.881,17.24,64.89,17.88
7h 6d 5c,13.333,47.37,16.5717,77.7386,52.63,37.9283,128.693,15.19,67.07,17.73
8c 2d 2c,89.3741,42.76,15.093,78.4336,57.24,39.407,122.943,25.29,45.87,28.84
8c 3c 2c,89.6817,45.21,16.6532,81.8647,54.79,37.8468,123.339,11.33,60.75,27.92
8c 3c 2d,66.5956,43.47,15.2102,77.7558,56.53,39.2898,124.112,21.63,54.51,23.86
8c 3d 3c,84.8327,42.71,15.0542,78.3342,57.29,39.4458,122.944,25.57,44.75,29.68
8c 3d 2c,66.2234,43.49,15.2269,77.813,56.51,39.2731,124.094,21.60,54.55,23.85
8c 4c 2c,88.3755,46.10,16.8788,81.3695,53.90,37.6212,124.632,10.69,63.71,25.59
8c 4c 2d,55.7142,44.41,15.467,77.3983,55.59,39.033,125.381,20.07,58.05,21.88
8c 4c 3c,92.9025,46.19,16.8994,81.307,53.81,37.6006,124.776,10.62,63.86,25.52
8c 4c 3d,58.9712,44.59,15.5164,77.3228,55.41,38.9836,125.641,19.65,58.64,21.71
8c 4d 4c,42.2484,43.15,15.1306,77.9197,56.85,39.3694,123.667,23.50,49.37,27.14
8c 4d 2c,56.6176,44.43,15.486,77.4484,55.57,39.014,125.379,19.88,58.30,21.82
8c 4d 3c,60.2114,44.61,15.5209,77.3182,55.39,38.9791,125.662,19.55,58.76,21.69
8c 5c 2c,85.6928,46.55,17.0255,81.2845,53.45,37.4745,125.189,10.01,65.60,24.39
8c 5c 2d,55.4335,44.91,15.6613,77.4878,55.09,38.8386,125.903,19.06,60.69,20.25
8c 5c 3c,89.9437,46.64,17.0759,81.352,53.36,37.4241,125.252,10.03,65.53,24.44
8c 5c 3d,57.9598,45.07,15.7057,77.4424,54.93,38.7943,126.111,18.78,60.91,20.31
8c 5c 4c,75.7838,47.23,16.9583,79.7897,52.77,37.5417,127.041,7.37,72.26,20.36
8c 5c 4d,32.4756,45.98,16.0448,77.5385,54.02,38.4552,127.128,16.84,63.82,19.34
8c 5d 5c,36.698,43.71,15.424,78.4097,56.29,39.076,123.97,23.25,50.58,26.18
8c 5d 2c,58.6331,44.99,15.6763,77.4238,55.01,38.8237,126.038,18.80,60.95,20.24
8c 5d 3c,61.6308,45.14,15.7149,77.3662,54.86,38.7851,126.244,18.49,61.31,20.20
8c 5d 4c,34.717,46.04,16.0633,77.5381,53.96,38.4367,127.193,16.75,63.87,19.37
8c 6c 2c,90.9798,46.71,16.9228,80.5043,53.29,37.5772,125.927,9.32,66.86,23.82
8c 6c 2d,57.9409,45.42,15.675,76.6929,54.58,38.825,127.024,18.50,62.49,19.00
8c 6c 3c,88.5696,46.67,16.9472,80.6902,53.33,37.5528,125.749,9.60,66.25,24.15
8c 6c 3d,57.0185,45.31,15.6646,76.8249,54.69,38.8354,126.806,18.54,61.95,19.50
8c 6c 4c,75.2259,47.39,17.0954,80.1698,52.61,37.4046,126.953,7.69,72.51,19.81
8c 6c 4d,40.1792,46.11,15.9895,77.0589,53.89,38.5105,127.611,16.07,67.42,16.51
8c 6c 5c,66.4332,47.41,17.2262,80.7385,52.59,37.2737,126.572,8.54,71.18,20.29
8c 6c 5d,33.0748,46.48,16.3383,78.1169,53.52,38.1617,127.324,16.55,65.75,17.70
8c 6d 6c,44.6143,43.94,15.3939,77.8578,56.06,39.1062,124.561,22.65,52.08,25.27
8c 6d 2c,61.3026,45.51,15.6978,76.6595,54.49,38.8022,127.149,18.37,62.63,19.00
8c 6d 3c,60.8731,45.38,15.6763,76.7587,54.62,38.8237,126.937,18.41,62.09,19.50
8c 6d 4c,42.7375,46.17,15.995,76.9863,53.83,38.505,127.733,15.95,67.56,16.50
8c 6d 5c,33.1961,46.50,16.3511,78.1354,53.50,38.1489,127.341,16.48,65.89,17.63
8c 7c 2c,91.0097,46.32,16.7901,80.5461,53.68,37.7099,125.452,9.31,66.72,23.97
8c 7c 2d,59.5372,45.13,15.4553,76.1002,54.87,39.0447,127.072,18.87,60.79,20.34
8c 7c 3c,93.769,46.39,16.7601,80.2803,53.61,37.7399,125.717,9.07,67.30,23.64
8c 7c 3d,61.4064,45.27,15.4846,76.0083,54.73,39.0154,127.302,18.39,61.73,19.88
8c 7c 4c,76.7736,47.30,16.9804,79.7708,52.70,37.5196,127.141,7.69,72.79,19.52
