Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
8c 7c 4c,100,50.32,105.935,91.534,49.68,122.565,107.262,2.58,97.42
8c 7c 4d,100,49.56,97.6208,85.6385,50.44,130.879,112.819,41.71,58.29
8c 7c 5c,100,50.36,106.396,91.863,49.64,122.104,106.94,3.80,96.20
8c 7c 5d,100,49.47,97.833,85.9808,50.53,130.667,112.435,39.72,60.28
8c 7c 6c,100,48.89,99.513,88.4939,51.11,128.987,109.731,0.00,100.00
8c 7c 6d,100,48.02,86.3727,78.2063,51.98,142.127,118.878,11.43,88.57
8c 7d 7c,100,52.76,120.746,99.5114,47.24,107.754,99.1653,71.72,28.28
8c 7d 2c,100,51.32,112.485,95.2891,48.68,116.015,103.628,57.07,42.93
8c 7d 3c,100,51.05,107.599,91.6437,48.95,120.901,107.382,51.05,48.95
8c 7d 4c,100,49.76,99.4343,86.8811,50.24,129.066,111.696,43.70,56.30
8c 7d 5c,100,49.72,100.044,87.4853,50.28,128.456,111.078,42.30,57.70
8c 7d 6c,100,48.21,87.803,79.1798,51.79,140.697,118.125,14.46,85.54
8d 8c 2c,100,52.81,120.012,98.7963,47.19,108.488,99.9652,60.02,39.98
8d 8c 3c,100,52.59,114.592,94.7348,47.41,113.908,104.465,55.77,44.23
8d 8c 4c,100,52.07,115.446,96.3974,47.93,113.054,102.553,60.93,39.07
8d 8c 5c,100,51.70,111.851,94.0675,48.30,116.649,104.999,58.98,41.02
8d 8c 6c,100,52.16,114.952,95.8269,47.84,113.548,103.187,65.68,34.32
8d 8c 7c,100,52.39,114.183,94.7659,47.61,114.317,104.389,68.57,31.43
8h 8d 8c,100,54.97,148.664,117.582,45.03,79.8363,77.0874,76.80,23.20
8d 3c 2c,100,51.63,112.072,94.385,48.37,116.428,104.644,51.78,48.22
8d 4c 2c,100,51.20,113.62,96.4784,48.80,114.88,102.359,54.28,45.72
8d 4c 3c,100,50.89,108.123,92.3695,49.11,120.377,106.58,50.78,49.22
8d 5c 2c,100,50.81,110.847,94.8601,49.19,117.653,103.982,52.62,47.38
8d 5c 3c,100,50.49,105.509,90.8597,49.51,122.991,108.003,48.33,51.67
8d 5c 4c,100,49.14,93.4648,82.6988,50.86,135.035,115.433,33.03,66.97
8d 6c 2c,100,50.84,111.748,95.5678,49.16,116.752,103.257,54.36,45.64
8d 6c 3c,100,50.58,106.882,91.8762,49.42,121.618,106.995,48.56,51.44
8d 6c 4c,100,50.16,105.936,91.8218,49.84,122.564,106.923,47.31,52.69
8d 6c 5c,100,49.47,98.2493,86.3474,50.53,130.251,112.076,37.77,62.23
8d 7c 2c,100,51.22,111.239,94.4196,48.78,117.261,104.523,55.82,44.18
8d 7c 3c,100,50.94,106.323,90.7493,49.06,122.177,108.276,49.37,50.63
8d 7c 4c,100,49.65,98.2549,86.0498,50.35,130.245,112.459,42.06,57.94
8d 7c 5c,100,49.60,98.8906,86.6797,50.40,129.609,111.816,40.70,59.30
8d 7c 6c,100,47.92,85.9038,77.9422,52.08,142.596,119.043,8.51,91.49
8h 8d 2c,100,53.32,125.83,102.599,46.68,102.67,95.6338,65.01,34.99
8h 8d 3c,100,53.16,120.872,98.8567,46.84,107.629,99.9054,63.97,36.03
8h 8d 4c,100,52.44,119.865,99.3844,47.56,108.635,99.3072,63.40,36.60
8h 8d 5c,100,51.98,115.54,96.6372,48.02,112.96,102.282,63.04,36.96
8h 8d 6c,100,52.47,119.367,98.917,47.53,109.133,99.8238,70.29,29.71
8h 8d 7c,100,53.01,122.62,100.571,46.99,105.879,97.9671,80.47,19.53
8h 2d 2c,100,53.60,136.904,111.053,46.40,91.5962,85.8265,61.46,38.54
8h 3d 3c,100,53.93,136.929,110.399,46.07,91.5714,86.4136,64.95,35.05
8h 3d 2c,100,52.15,117.429,97.9007,47.85,111.071,100.925,53.16,46.84
8h 4d 4c,100,52.69,126.496,104.378,47.31,102.004,93.7452,63.48,36.52
8h 4d 2c,100,51.57,117.736,99.2666,48.43,110.764,99.4347,54.19,45.81
8h 4d 3c,100,51.30,112.274,95.1513,48.70,116.226,103.769,50.04,49.96
8h 5d 5c,100,52.11,118.79,99.1135,47.89,109.71,99.6024,61.25,38.75
8h 5d 2c,100,51.09,114.148,97.139,48.91,114.352,101.655,52.21,47.79
8h 5d 3c,100,50.82,108.766,93.0624,49.18,119.734,105.841,48.85,51.15
8h 5d 4c,100,49.53,95.7512,84.0472,50.47,132.749,114.365,39.15,60.85
8h 6d 6c,100,52.68,124.529,102.775,47.32,103.971,95.5327,68.69,31.31
8h 6d 2c,100,51.13,115.481,98.1995,48.87,113.019,100.549,53.38,46.62
8h 6d 3c,100,50.92,110.666,94.4954,49.08,117.834,104.382,50.31,49.69
8h 6d 4c,100,50.37,108.082,93.2933,49.63,120.418,105.493,49.89,50.11
