Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12 RAISE 50
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 975 freq,CALL freq,FOLD freq
8c 7c 6d,7.21886,54.88,86.0662,140.017,45.12,24.4338,73.1835,0.00,67.26,32.74
8c 7d 7c,13.1827,54.19,85.9252,141.585,45.81,24.5748,72.4868,0.00,64.24,35.76
8c 7d 2c,10.4225,53.68,86.4047,143.712,46.32,24.0953,70.2989,0.00,66.01,33.99
8c 7d 3c,10.6962,53.86,86.5201,143.429,46.14,23.9799,70.2315,0.00,66.36,33.64
8c 7d 4c,8.42394,53.81,86.4117,143.376,46.19,24.0882,70.4761,0.00,68.43,31.57
8c 7d 5c,5.75888,54.95,86.3284,140.271,45.05,24.1716,72.507,0.00,67.24,32.76
8c 7d 6c,7.05406,54.93,86.1256,140.004,45.07,24.3744,73.075,0.00,67.11,32.89
8d 8c 2c,14.3364,53.03,85.7665,144.417,46.97,24.7335,71.1521,0.00,64.44,35.56
8d 8c 3c,14.5536,53.41,85.9442,143.686,46.59,24.5558,71.2173,0.00,64.64,35.36
8d 8c 4c,13.4749,53.58,85.4114,142.328,46.42,25.0886,73.0373,0.00,64.89,35.11
8d 8c 5c,12.657,53.04,85.8639,144.55,46.96,24.6361,70.8889,0.00,64.94,35.06
8d 8c 6c,14.6123,53.07,85.8396,144.415,46.93,24.6604,71.0114,0.00,64.91,35.09
8d 8c 7c,14.9039,54.00,85.5684,141.477,46.00,24.9316,73.2453,0.00,64.41,35.59
8h 8d 8c,6.76597,55.57,87.716,140.945,44.43,22.784,69.2923,0.00,69.22,30.78
8d 3c 2c,11.2133,53.81,86.6117,143.704,46.19,23.8882,69.8936,0.00,66.44,33.56
8d 4c 2c,9.9152,53.26,86.4023,144.856,46.74,24.0976,69.6661,0.00,66.69,33.31
8d 4c 3c,9.74511,53.50,86.5098,144.387,46.50,23.9902,69.7128,0.00,66.36,33.64
8d 5c 2c,8.50438,52.54,86.6898,147.33,47.46,23.8102,67.7905,0.00,66.90,33.10
8d 5c 3c,8.59291,53.09,86.8243,146.02,46.91,23.6757,68.2031,0.00,66.71,33.29
8d 5c 4c,8.08365,53.76,86.0688,142.935,46.24,24.4312,71.4053,0.00,68.00,32.00
8d 6c 2c,9.91937,52.29,86.4846,147.687,47.71,24.0154,68.015,0.00,66.80,33.20
8d 6c 3c,10.2783,52.82,86.6056,146.385,47.18,23.8944,68.4456,0.00,66.60,33.40
8d 6c 4c,6.46923,53.05,86.6195,145.773,46.95,23.8805,68.7408,0.00,67.37,32.63
8d 6c 5c,5.1452,54.03,86.4307,142.818,45.97,24.0693,70.7609,0.00,67.04,32.96
8d 7c 2c,10.5503,53.66,86.465,143.863,46.34,24.0351,70.0946,0.00,65.98,34.02
8d 7c 3c,10.8039,53.81,86.6111,143.71,46.19,23.8889,69.8911,0.00,66.34,33.66
8d 7c 4c,8.0992,53.85,86.3457,143.173,46.15,24.1543,70.7228,0.00,68.20,31.80
8d 7c 5c,5.98856,54.88,86.4431,140.639,45.12,24.0569,72.0494,0.00,67.11,32.89
8d 7c 6c,7.16191,54.84,86.207,140.344,45.16,24.293,72.6999,0.00,67.13,32.87
8h 8d 2c,14.9238,49.71,85.9486,154.377,50.29,24.5514,65.9717,0.00,68.84,31.16
8h 8d 3c,15.148,50.31,86.1448,152.879,49.69,24.3552,66.2369,0.00,68.82,31.18
8h 8d 4c,14.0533,51.36,85.4629,148.583,48.64,25.0371,69.554,0.00,68.04,31.96
8h 8d 5c,14.7026,51.41,85.8701,149.144,48.59,24.6299,68.4936,0.00,67.89,32.11
8h 8d 6c,15.3007,51.64,86.312,149.232,48.36,24.188,67.5907,0.00,66.76,33.24
8h 8d 7c,15.6721,52.64,85.7589,145.45,47.36,24.7411,70.601,0.00,66.10,33.90
8h 2d 2c,12.1925,52.34,87.8976,149.934,47.66,22.6024,64.0909,0.00,70.41,29.59
8h 3d 3c,11.7023,51.80,86.8595,149.72,48.20,23.6405,66.2776,0.00,69.93,30.07
8h 3d 2c,9.28445,52.05,87.1165,149.437,47.95,23.3835,65.9013,0.00,71.55,28.45
