Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
9c 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 4d,0.00335,67.18,1023.2,139.729,32.82,40.444,68.4619,19.07,80.93
9c 5d 5c,0.00002,85.94,1119.27,119.487,14.06,-50.8974,-201.116,13.88,86.12
9c 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5d 3c,0.00487,68.31,1023.18,137.411,31.69,39.8659,69.8955,19.73,80.27
9c 5d 4c,0.00453,68.77,1023.56,136.545,31.23,39.8745,70.937,19.30,80.70
9c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 3d,0.00594,65.92,1016.67,141.502,34.08,47.455,77.3495,18.54,81.46
9c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 4d,0.01505,65.33,1011.15,142.002,34.67,53.4699,85.6736,18.00,82.00
9c 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 5d,0.00197,69.03,1028.82,136.726,30.97,30.3269,54.4094,24.01,75.99
9c 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 3c,0.0053,69.32,1023.94,135.508,30.68,40.4901,73.3259,18.21,81.79
9c 6d 4c,0.0052,68.54,1022.46,136.864,31.46,42.3955,74.8604,17.75,82.25
9c 6d 5c,0.00051,71.58,1035.8,132.764,28.42,23.8048,46.5285,23.51,76.49
9c 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 3d,0.00124,65.94,1025.5,142.686,34.06,36.2087,59.0538,21.20,78.80
9c 7c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 4d,0.00026,65.03,1017.9,143.606,34.97,45.5328,72.3341,19.31,80.69
9c 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 5d,0.00356,62.54,1016.27,149.092,37.46,40.8788,60.6191,26.21,73.79
9c 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 6d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 5c,0.00164,61.42,1014.67,151.569,38.58,43.2386,62.259,25.37,74.63
9c 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 3d,0.00216,65.49,1025.73,143.697,34.51,37.6364,60.5845,19.38,80.62
9c 8c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 4d,0.00043,64.77,1017.78,144.173,35.23,45.3009,71.4281,19.69,80.31
9c 8c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 5d,0.00672,60.90,1020.95,153.807,39.10,37.8947,53.8398,24.35,75.65
9c 8c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
