Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
8h 8d 7c,7.45578,49.83,282.646,106.218,50.17,977.853,154.449,51.82,48.18
8h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 6c,0.5722,52.74,336.997,119.657,47.26,923.502,154.844,50.64,49.36
8h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 5c,3.18395,48.38,299.899,116.084,51.62,960.601,147.455,51.69,48.31
8h 7d 7c,8.28221,49.81,282.029,106.035,50.19,978.472,154.476,51.40,48.60
8h 7d 2c,1.80548,51.17,315.095,115.315,48.83,945.407,153.416,48.72,51.28
8h 7d 3c,1.31068,50.46,306.032,113.563,49.54,954.467,152.681,48.32,51.68
8h 7d 4c,2.90754,48.95,293.014,112.087,51.05,967.487,150.185,49.60,50.40
8h 7d 5c,6.22902,47.06,262.426,104.422,52.94,998.073,149.396,50.98,49.02
8h 7d 6c,1.82702,46.86,263.012,105.112,53.14,997.487,148.734,50.28,49.72
9c 2d 2c,0.00008,46.12,298.672,121.285,53.89,961.823,141.437,46.47,53.53
9c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 3c 2d,0.27433,44.64,234.758,98.4757,55.36,1025.74,146.828,50.43,49.57
9c 3d 3c,0.07358,44.00,231.278,98.4382,56.00,1029.23,145.629,47.17,52.83
9c 3d 2c,0.29357,44.13,227.726,96.6303,55.87,1032.78,146.482,50.36,49.64
9c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 3c,0.03655,42.36,245.571,108.559,57.64,1014.93,139.531,49.19,50.81
9c 4c 3d,0.25431,48.06,291.962,113.755,51.94,968.539,147.77,50.61,49.39
9c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4d 3c,0.17936,48.12,292.48,113.831,51.88,968.022,147.841,50.67,49.33
9c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 3c,0.06352,42.25,239.342,106.072,57.75,1021.16,140.126,49.22,50.78
9c 5c 3d,0.03584,47.49,279.809,110.342,52.51,980.689,147.983,49.99,50.01
9c 5c 4c,0.09103,39.32,200.679,95.5773,60.68,1059.82,138.398,52.82,47.18
9c 5c 4d,0.09676,45.74,260.815,106.789,54.26,999.686,145.983,50.00,50.00
9c 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5d 3c,0.1241,45.26,252.6,104.516,54.74,1007.9,145.898,49.79,50.21
9c 5d 4c,0.13229,45.47,254.697,104.888,54.53,1005.8,146.165,50.08,49.92
9c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 3c,0.00004,26.62,48.9836,34.4651,73.39,1211.51,130.816,53.05,46.95
9c 6c 3d,0.17333,41.75,204.359,91.6713,58.25,1056.14,143.662,49.91,50.09
9c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 5c,0.02601,36.68,196.702,100.434,63.32,1063.8,133.116,51.48,48.52
9c 6c 5d,0.16981,43.06,215.054,93.5218,56.94,1045.44,145.493,51.69,48.31
9c 6d 6c,0.00062,42.84,246.362,107.704,57.16,1014.14,140.576,51.00,49.00
9c 6d 2c,0.00001,41.47,146.77,66.282,58.53,1113.73,150.77,49.36,50.64
