Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\AdKc2c.cfr
Action Line,Root BET 152 RAISE 366
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 580 freq,CALL freq,FOLD freq
8d 8c 4c,2.89449,47.41,280.056,110.628,52.59,466.446,118.568,26.83,22.78,0.92,49.48
8d 8c 5c,2.53005,47.27,277.07,109.774,52.73,469.431,119.009,25.71,21.67,4.32,48.30
8d 8c 6c,2.23607,46.09,257.633,104.684,53.91,488.867,121.226,30.11,19.10,2.54,48.26
8d 8c 7c,0.0085,43.09,206.994,89.9488,56.91,539.506,126.747,29.36,17.56,7.87,45.22
8h 8d 8c,19.5218,49.66,307.208,115.846,50.34,439.292,116.664,41.55,6.79,4.92,46.74
8d 3c 2c,1.33019,45.30,253.738,104.882,54.69,492.763,120.445,29.81,18.66,3.55,47.98
8d 4c 2c,3.04881,46.66,273.366,109.712,53.34,473.136,118.586,27.39,20.99,3.27,48.34
8d 4c 3c,1.45029,46.21,267.903,108.572,53.79,478.599,118.947,27.49,20.50,4.21,47.80
8d 5c 2c,2.62351,47.41,280.836,110.922,52.59,465.664,118.383,27.43,18.83,5.32,48.42
8d 5c 3c,0.88021,46.82,279.163,111.652,53.18,467.338,117.49,25.06,20.91,5.44,48.59
8d 5c 4c,0.13727,44.42,223.691,94.3055,55.58,522.809,125.752,25.63,22.09,5.65,46.63
8d 6c 2c,2.3717,45.29,267.874,110.765,54.71,478.625,116.954,27.68,20.31,2.73,49.27
8d 6c 3c,1.07687,45.00,254.863,106.057,55.00,491.637,119.506,27.75,20.03,3.58,48.64
8d 6c 4c,2.54112,46.99,270.102,107.651,53.01,476.398,120.137,30.88,17.89,3.05,48.18
8d 6c 5c,1.4573,45.35,259.338,107.1,54.65,487.162,119.165,35.12,14.01,4.76,46.11
8d 7c 2c,2.4006,46.16,258.145,104.719,53.84,488.354,121.271,26.13,20.79,5.74,47.33
8d 7c 3c,1.07517,45.42,242.06,99.8113,54.58,504.439,123.548,25.65,21.56,6.14,46.65
8d 7c 4c,0.59757,46.29,255.794,103.492,53.71,490.706,122.131,25.77,21.57,4.73,47.93
8d 7c 5c,1.55228,44.73,233.567,97.7776,55.27,512.933,124.077,31.80,16.25,6.22,45.73
8d 7c 6c,0.84412,42.64,211.976,93.0868,57.36,534.524,124.591,35.53,13.89,2.36,48.22
8h 8d 2c,8.65732,49.29,301.376,114.497,50.71,445.123,117.354,24.31,17.60,15.97,42.12
8h 8d 3c,6.9932,48.85,295.192,113.163,51.15,451.31,117.957,24.27,17.89,15.02,42.82
8h 8d 4c,8.51208,49.00,294.928,112.723,51.00,451.572,118.365,26.71,16.15,14.31,42.82
