Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 115
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 230 freq,CALL freq,FOLD freq
8c 7d 5c,0.02192,48.49,74.0056,66.3618,51.51,269.495,151.639,1.84,24.03,29.06,45.08
8c 7d 6c,3.49285,46.57,57.8049,53.9631,53.43,285.695,154.999,0.64,18.91,41.94,38.51
8d 8c 2c,3.61987,49.97,64.0874,55.763,50.03,279.413,161.877,0.47,23.29,38.73,37.51
8d 8c 3c,3.52756,49.90,62.3253,54.3021,50.10,281.175,162.682,0.16,25.13,36.69,38.02
8d 8c 4c,1.70276,48.91,65.8663,58.55,51.09,277.634,157.517,0.66,22.03,38.20,39.11
8d 8c 5c,1.24691,48.52,65.365,58.5716,51.48,278.135,156.606,0.39,24.40,34.70,40.52
8d 8c 6c,0.79589,48.54,63.4589,56.8395,51.46,280.041,157.742,0.22,24.63,33.74,41.41
8d 8c 7c,0.67583,46.61,58.4339,54.5127,53.39,285.066,154.751,0.48,22.96,34.37,42.19
8h 8d 8c,10.0714,48.49,55.5185,49.7835,51.51,287.981,162.042,6.68,2.83,67.66,22.83
8d 3c 2c,1.01474,49.57,70.269,61.6321,50.43,273.231,157.048,3.08,20.32,35.65,40.96
8d 4c 2c,2.7036,49.43,67.1447,59.0627,50.57,276.355,158.393,4.09,15.35,39.93,40.63
8d 4c 3c,0.6427,49.54,70.0395,61.4728,50.46,273.461,157.074,2.82,19.68,35.85,41.64
8d 5c 2c,1.46167,49.10,66.9022,59.2476,50.90,276.598,157.497,2.62,19.66,35.18,42.54
8d 5c 3c,0.00269,48.75,78.1647,69.7067,51.25,265.334,150.076,1.52,23.89,31.99,42.60
8d 5c 4c,0.01089,46.01,46.2744,43.7264,53.99,297.224,159.576,0.23,26.17,31.46,42.14
8d 6c 2c,0.06059,48.35,59.4301,53.4468,51.65,284.07,159.404,2.38,23.24,30.52,43.86
8d 6c 3c,0.13013,48.83,60.0005,53.4248,51.17,283.5,160.589,1.64,26.58,28.40,43.38
8d 6c 4c,0.02641,48.36,69.3355,62.34,51.64,274.164,153.88,1.24,23.18,32.24,43.33
