Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\7c5d2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
8h 8d 8c,100,39.82,13.1264,73.2604,60.18,30.3735,112.152,100.00,0.00
8d 3c 2c,100,44.36,17.0162,85.2473,55.64,26.4838,105.77,74.37,25.63
8d 4c 2c,100,45.29,18.1063,88.8335,54.71,25.3937,103.152,58.68,41.32
8d 4c 3c,100,45.55,17.991,87.778,54.45,25.509,104.101,61.84,38.16
8d 5c 2c,100,45.99,18.1012,87.4705,54.01,25.3987,104.496,64.47,35.53
8d 5c 3c,100,46.24,18.0334,86.6691,53.76,25.4665,105.265,66.84,33.16
8d 5c 4c,100,47.72,19.6645,91.5816,52.28,23.8355,101.307,45.51,54.49
8d 6c 2c,100,46.39,17.8374,85.4422,53.61,25.6625,106.38,70.71,29.29
8d 6c 3c,100,46.67,18.2028,86.6721,53.33,25.2972,105.413,65.33,34.67
8d 6c 4c,100,48.07,19.7194,91.1656,51.93,23.7806,101.758,46.89,53.11
8d 6c 5c,100,48.94,20.3643,92.465,51.06,23.1357,100.694,42.72,57.28
8d 7c 2c,100,46.10,17.6939,85.287,53.90,25.806,106.401,69.02,30.98
8d 7c 3c,100,46.48,17.7422,84.8337,53.52,25.7578,106.941,70.37,29.63
8d 7c 4c,100,48.16,20.0291,92.4282,51.84,23.4709,100.603,38.71,61.29
8d 7c 5c,100,48.95,20.3445,92.3551,51.05,23.1555,100.801,42.32,57.68
8d 7c 6c,100,49.49,20.4476,91.8162,50.51,23.0524,101.419,40.66,59.34
8h 8d 2c,100,42.23,17.2205,90.6271,57.77,26.2795,101.081,52.23,47.77
8h 8d 3c,100,42.57,17.2431,90.0202,57.43,26.2569,101.592,54.46,45.54
8h 8d 4c,100,43.32,17.6842,90.7082,56.68,25.8157,101.221,50.50,49.50
8h 8d 5c,100,44.04,17.5777,88.6938,55.96,25.9223,102.941,62.19,37.81
8h 8d 6c,100,44.48,17.6965,88.4106,55.52,25.8035,103.281,62.06,37.94
8h 8d 7c,100,44.53,17.9445,89.5404,55.47,25.5555,102.389,55.63,44.37
8h 2d 2c,100,41.71,14.0271,74.7322,58.29,29.4729,112.362,99.97,0.03
8h 3d 3c,100,42.32,15.2059,79.8431,57.68,28.2941,109.011,90.50,9.50
8h 3d 2c,100,44.00,16.8686,85.1945,56.00,26.6314,105.68,71.70,28.30
8h 4d 4c,100,43.31,16.6584,85.4681,56.69,26.8416,105.223,69.32,30.68
8h 4d 2c,100,44.99,18.2157,89.9811,55.01,25.2842,102.134,54.06,45.94
8h 4d 3c,100,45.36,18.1959,89.142,54.64,25.304,102.913,56.16,43.84
8h 5d 5c,100,44.59,18.218,90.7958,55.41,25.282,101.39,52.30,47.70
8h 5d 2c,100,45.76,18.3081,88.9007,54.24,25.1919,103.219,58.74,41.26
8h 5d 3c,100,46.12,18.3119,88.2329,53.88,25.1881,103.885,60.28,39.72
8h 5d 4c,100,47.91,20.4776,94.987,52.09,23.0224,98.2111,32.50,67.50
8h 6d 6c,100,44.90,18.1608,89.8837,55.10,25.3392,102.194,53.03,46.97
8h 6d 2c,100,46.40,18.2979,87.643,53.61,25.2021,104.476,60.95,39.05
8h 6d 3c,100,46.61,18.5441,88.4195,53.39,24.9559,103.865,58.12,41.88
8h 6d 4c,100,48.20,20.4095,94.1053,51.80,23.0905,99.0495,36.39,63.61
8h 6d 5c,100,49.32,21.3589,96.232,50.68,22.1411,97.0894,28.70,71.30
8h 7d 7c,100,44.64,17.7315,88.2745,55.36,25.7685,103.433,58.53,41.47
8h 7d 2c,100,46.02,18.0092,86.9619,53.98,25.4908,104.94,62.49,37.51
8h 7d 3c,100,46.51,18.1666,86.7939,53.49,25.3333,105.252,62.49,37.51
8h 7d 4c,100,48.19,20.6483,95.2161,51.81,22.8517,98.0159,28.88,71.12
8h 7d 5c,100,49.11,21.0554,95.2721,50.89,22.4446,98.0124,31.41,68.59
8h 7d 6c,100,49.76,21.2301,94.8174,50.24,22.2699,98.498,28.70,71.30
9c 2d 2c,100,41.41,14.5785,78.2389,58.59,28.9215,109.69,99.51,0.49
9c 3c 2c,100,44.46,16.8765,84.3504,55.54,26.6235,106.526,89.78,10.22
9c 3c 2d,100,43.54,16.7141,85.3001,56.46,26.7859,105.433,75.22,24.78
9c 3d 3c,100,42.03,15.5249,82.0779,57.97,27.9751,107.245,88.42,11.58
9c 3d 2c,100,43.61,16.8345,85.7788,56.39,26.6655,105.088,73.71,26.29
9c 4c 2c,100,44.83,16.9895,84.2189,55.17,26.5105,106.781,89.46,10.54
9c 4c 2d,100,44.05,17.05,86.0034,55.94,26.45,105.064,71.90,28.10
9c 4c 3c,100,45.23,16.8565,82.8217,54.77,26.6435,108.099,94.08,5.92
9c 4c 3d,100,44.92,17.6443,87.2796,55.08,25.8557,104.324,66.54,33.46
9c 4d 4c,100,42.79,16.5703,86.0557,57.21,26.9296,104.603,70.56,29.44
9c 4d 2c,100,44.18,17.2457,86.7528,55.82,26.2543,104.512,69.32,30.68
9c 4d 3c,100,44.98,17.7196,87.5503,55.02,25.7804,104.118,65.35,34.65
9c 5c 2c,100,45.41,17.128,83.8255,54.59,26.3719,107.346,90.24,9.76
9c 5c 2d,100,44.80,17.4028,86.318,55.20,26.0972,105.066,70.56,29.44
9c 5c 3c,100,45.77,17.0128,82.6035,54.23,26.4871,108.535,95.34,4.66
9c 5c 3d,100,45.59,17.9385,87.436,54.41,25.5615,104.401,65.69,34.31
9c 5c 4c,100,45.78,16.6421,80.7769,54.22,26.8578,110.085,99.91,0.09
9c 5c 4d,100,46.06,18.0086,86.8824,53.94,25.4914,105.022,66.33,33.67
9c 5d 5c,100,43.91,18.0088,91.1315,56.09,25.4912,101,50.08,49.92
9c 5d 2c,100,44.78,17.3437,86.0639,55.22,26.1563,105.265,71.68,28.32
