Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
7h 6d 3c,0.00138,53.49,204.415,141.534,46.51,38.3298,45.7865,0.41,16.82,40.33,42.44
7h 6d 4c,0.04353,55.48,198.696,132.64,44.52,43.9435,54.8388,0.00,16.58,41.60,41.82
7h 6d 5c,0.01173,56.94,197.677,128.587,43.06,46.1452,59.5322,0.00,14.77,43.59,41.64
8c 2d 2c,0.87378,58.38,192.141,121.901,41.62,53.4936,71.4011,0.00,7.68,48.84,43.48
8c 3c 2c,0.26085,62.79,192.94,113.805,37.21,54.9181,81.9966,0.00,1.41,52.29,46.30
8c 3c 2d,0.92399,59.21,189.205,118.346,40.79,54.1234,73.7205,1.69,6.86,49.57,41.88
8c 3d 3c,0.65675,58.55,193.278,122.257,41.45,52.842,70.8285,0.00,8.07,47.70,44.23
8c 3d 2c,0.95336,58.97,188.5,118.396,41.03,54.8434,74.2543,2.33,6.27,49.45,41.95
8c 4c 2c,0.33475,62.26,192.936,114.779,37.74,54.8629,80.7542,0.00,2.12,52.40,45.48
8c 4c 2d,0.70836,60.19,187.899,115.629,39.81,55.2923,77.1534,2.91,6.52,48.79,41.78
8c 4c 3c,0.34899,62.20,193.471,115.211,37.80,54.3332,79.8451,0.03,2.78,51.43,45.75
8c 4c 3d,0.67856,60.30,187.863,115.396,39.70,55.3928,77.5083,2.76,7.03,48.14,42.07
8c 4d 4c,0.88392,59.95,193.718,119.681,40.05,52.4311,72.7273,0.00,7.69,48.17,44.14
8c 4d 2c,0.79726,59.85,187.216,115.848,40.15,55.971,77.4538,3.09,6.33,48.83,41.76
8c 4d 3c,0.73654,60.14,187.367,115.384,39.86,55.9172,77.9408,2.00,7.58,48.41,42.01
8c 5c 2c,0.34068,61.83,193.992,116.212,38.17,53.9231,78.4753,0.00,1.86,52.65,45.50
8c 5c 2d,0.61507,60.56,188.874,115.518,39.44,54.3879,76.6035,2.19,7.35,48.60,41.86
8c 5c 3c,0.33335,61.75,194.503,116.654,38.25,53.4271,77.6074,0.02,2.18,52.18,45.62
8c 5c 3d,0.57626,60.76,189.778,115.682,39.24,53.6131,75.9053,2.85,6.39,48.67,42.09
8c 5c 4c,0.25965,62.09,197.465,117.792,37.91,50.3057,73.7181,0.00,3.61,50.21,46.18
8c 5c 4d,0.01028,59.64,195.171,121.208,40.36,47.541,65.4364,4.02,8.81,46.01,41.16
8c 5d 5c,0.71086,60.06,195.989,120.864,39.94,50.9157,70.8191,0.00,7.00,47.34,45.66
8c 5d 2c,0.70462,60.06,187.9,115.866,39.94,55.2533,76.862,2.65,6.87,48.82,41.67
8c 5d 3c,0.65144,60.27,188.621,115.903,39.73,54.7537,76.5722,2.57,7.23,48.04,42.15
8c 5d 4c,0.02619,59.01,191.842,120.406,40.99,50.6091,68.5934,5.52,9.43,43.05,42.00
8c 6c 2c,0.31567,62.08,193.163,115.245,37.92,54.4541,79.7753,0.00,2.60,52.22,45.18
8c 6c 2d,0.47231,59.19,189.594,118.635,40.81,53.3143,72.5781,2.47,6.96,50.62,39.95
8c 6c 3c,0.29917,62.01,193.933,115.838,37.99,53.6832,78.4976,0.00,3.01,51.69,45.30
8c 6c 3d,0.45589,59.29,189.529,118.396,40.71,53.4335,72.9171,2.53,7.02,50.26,40.19
8c 6c 4c,0.22806,62.03,195.432,116.69,37.97,51.8987,75.9344,0.00,3.03,51.42,45.55
8c 6c 4d,0.1204,57.57,190.713,122.687,42.43,51.4862,67.4174,4.33,8.06,47.67,39.94
8c 6c 5c,0.21658,61.21,195.531,118.322,38.79,51.9653,74.4161,0.00,5.80,47.02,47.18
8c 6c 5d,0.03469,57.40,191.276,123.421,42.60,51.3863,67.0133,4.89,8.72,46.02,40.37
8c 6d 6c,0.50603,59.59,193.95,120.537,40.41,52.8407,72.6534,0.00,8.63,46.48,44.89
8c 6d 2c,0.51788,58.73,189.303,119.371,41.26,53.5818,72.1378,3.18,8.04,48.27,40.51
8c 6d 3c,0.47469,58.91,189.231,118.964,41.09,53.7496,72.6775,2.77,8.09,48.57,40.57
8c 6d 4c,0.11952,57.54,190.512,122.63,42.46,51.6038,67.5176,5.09,8.05,46.56,40.30
8c 6d 5c,0.00784,57.64,194.008,124.659,42.36,48.7402,63.9247,3.95,8.95,46.39,40.70
8c 7c 2c,0.14656,61.38,192.365,116.07,38.62,55.152,79.3411,0.00,2.57,52.47,44.95
8c 7c 2d,0.52859,57.23,190.223,123.108,42.77,52.4677,68.1495,2.72,9.18,48.41,39.68
8c 7c 3c,0.15819,61.06,193.011,117.082,38.94,54.4218,77.635,0.00,3.45,51.36,45.19
8c 7c 3d,0.48706,57.32,189.782,122.618,42.68,52.9093,68.8773,2.91,9.53,47.67,39.89
8c 7c 4c,0.23196,60.57,195.83,119.736,39.43,51.4917,72.5589,0.00,4.22,50.09,45.68
8c 7c 4d,0.20373,55.91,193.803,128.378,44.09,48.0895,60.5979,5.55,9.42,44.62,40.42
8c 7c 5c,0.25298,60.32,193.236,118.64,39.68,54.182,75.8678,0.00,8.38,44.20,47.41
8c 7c 5d,0.39901,56.34,189.877,124.816,43.66,52.2793,66.5275,4.31,10.47,45.46,39.76
8c 7c 6c,0.25354,61.08,198.285,120.241,38.92,48.9251,69.8303,0.00,7.66,44.29,48.06
8c 7c 6d,0.42136,57.61,190.803,122.668,42.39,52.6811,69.0413,1.44,8.88,50.19,39.49
8c 7d 7c,0.23353,57.79,196.871,126.183,42.21,49.7331,65.4501,0.00,11.85,42.96,45.19
8c 7d 2c,0.52833,56.87,189.69,123.54,43.13,52.9992,68.2658,2.07,11.46,45.99,40.48
8c 7d 3c,0.4804,57.03,189.478,123.042,42.97,53.2266,68.8242,1.86,11.85,45.83,40.46
8c 7d 4c,0.18187,55.57,192.728,128.445,44.43,49.1053,61.4062,6.80,9.47,42.69,41.04
8c 7d 5c,0.34667,56.40,190.368,125.005,43.60,52.0294,66.3012,2.67,12.55,44.53,40.25
8c 7d 6c,0.41634,57.64,190.871,122.645,42.36,52.6758,69.0852,1.26,9.62,49.30,39.81
8d 8c 2c,1.37758,60.12,192.28,118.451,39.88,55.4684,77.2745,0.00,9.62,44.06,46.32
8d 8c 3c,1.38262,59.97,192.024,118.602,40.03,55.8349,77.4816,0.00,9.02,44.86,46.12
8d 8c 4c,1.21926,60.33,192.05,117.902,39.67,55.3979,77.5797,0.00,8.36,46.34,45.30
8d 8c 5c,1.08063,59.66,194.025,120.442,40.34,53.5366,73.7381,0.00,7.75,46.73,45.52
8d 8c 6c,0.97671,59.74,193.25,119.799,40.26,54.1984,74.7986,0.00,8.99,46.25,44.76
8d 8c 7c,0.82341,58.01,193.986,123.85,41.99,52.9343,70.0377,0.00,13.23,42.11,44.66
8h 8d 8c,2.09628,59.45,177.152,110.365,40.55,69.3138,94.962,0.00,20.92,34.19,44.89
8d 3c 2c,1.04688,59.00,188.491,118.328,41.00,55.0318,74.5659,0.85,8.81,48.19,42.16
8d 4c 2c,0.83194,59.98,187.229,115.607,40.02,56.2398,78.0767,1.16,8.94,48.00,41.89
8d 4c 3c,0.76487,60.29,187.512,115.187,39.71,56.0583,78.4321,0.81,9.40,47.72,42.07
8d 5c 2c,0.64449,60.15,187.95,115.723,39.85,55.4547,77.3162,0.43,10.20,47.25,42.11
8d 5c 3c,0.64277,60.46,188.666,115.573,39.54,54.9197,77.1654,0.47,9.78,47.31,42.44
8d 5c 4c,0.05429,59.64,188.992,117.371,40.36,54.399,74.8754,1.71,11.44,44.42,42.43
8d 6c 2c,0.52045,58.88,189.269,119.051,41.12,53.9946,72.9538,1.59,9.97,47.38,41.06
8d 6c 3c,0.47614,59.00,189.165,118.74,41.00,54.2296,73.4886,1.55,9.60,47.68,41.17
8d 6c 4c,0.14406,58.10,189.241,120.641,41.90,53.5719,71.0264,1.91,10.12,47.59,40.37
